Index,"File
",Does this sound like a unique call recepient?,"Can the original recording be heard?
","Are there human voices?
","Remarks
"
85,85.wav,No,Yes,Yes,One clear  hello but there are a lot of other human voices + another example of org recording amplified halfway
86,86.wav,No,No,Yes,"One person saying hello in the beginning
"
87,87.wav,No,Yes,Yes,Mixed voices + answering machines
88,88.wav,No,Yes,Yes,Mixed voices + answering machines
89,89.wav,No,Yes,Yes,Many hellos + answering machines
90,90.wav,Yes,No,No,A very prominent answering machine!
91,91.wav,No,No,Yes,Feeble voices
92,92.wav,No,Yes,Yes,Mixed voices + answering machines
93,93.wav,No,No,No,"Mostly, noise -  a few sharp breaths
"
94,94.wav,No,Yes,Yes,"Lots of voices - hellos, answering machines, original recording + bg voices and noise"
95,95.wav,Yes,No,Yes,Single prominent hello in the beginning
96,96.wav,No,No,Yes,"Prominent hello in the beginning, but mutliple  other faint hellos"
97,97.wav,No,No,Yes,"Feeble voice initially, then another strong voice saying hello"
98,98.wav,No,No,No,Beeps and feeble voices
99,99.wav,No,Yes,Yes,Multiple voices
100,100.wav,No,No,Yes,Beeps and one voice saying hello
